P1 S1->S2->S3
P2 S4->S5->S6
P3 S7->S8->S9->S10
P4 S11->S12->S13->S14
P5 S15->S16
S1 302.75,89,7.1,90,73,78,80,187.75,32
S2 482,85,16,95,73,100,84,1,2
S3 3321.4,89,1.4,96,73,78,80,2.6,96
S4 126.17,98,12,100,67,78,82,22.77,89
S5 107,87,1.9,95,73,89,62,58.33,93
S6 107.57,80,1.7,81,67,78,82,18.21,61
S7 255,98,1.3,99,67,100,82,40.8,4
S8 136.71,76,2.8,76,60,89,69,11.57,8
S9 102.62,91,15.3,97,67,78,82,0.93,91
S10 93.37,96,13.5,99,67,89,58,41.66,93
S11 133,86,7.7,95,73,78,84,10.67,9
S12 221.48,90,10.9,97,53,89,66,37.26,6
S13 114,86,16.1,86,73,89,84,67,8
S14 269.83,85,4.5,86,53,89,66,74.96,6
S15 134.07,84,12.2,85,60,89,69,8.21,4
S16 67.5,86,6,86,73,78,80,1.5,95
